run_id,timestamp,scenario_name,source_sensor,reference_sensor,preprocessing,matcher,selected_model,tentative_matches,inlier_count,inlier_ratio_pct,rmse_px,median_res_px,coverage_pct,uniformity_score,subpixel_converged,quality_score,rating,runtime_s,notes
run_20260907_151314_6d7a0a58,2026-09-07T15:13:14.821468+00:00,Scenario 5: Sun-Angle & Shadow Direction Inversion,Procedural Lunar Model (Scenario 5: Sun-Angle & Shadow Direction Inversion),Procedural Lunar Model (Scenario 5: Sun-Angle & Shadow Direction Inversion),gradient,hybrid,similarity,294,249,84.69,1.242,1.252,96.33,94.85,121,95,EXEMPLARY,1.7805,Streamlit Mission Control (Mode 0: SIH Grand Finale Guided Showcase)
run_20260907_151914_03898aec,2026-09-07T15:19:14.981831+00:00,Scenario 5: Sun-Angle & Shadow Direction Inversion,Procedural Lunar Model (Scenario 5: Sun-Angle & Shadow Direction Inversion),Procedural Lunar Model (Scenario 5: Sun-Angle & Shadow Direction Inversion),gradient,hybrid,similarity,294,249,84.69,1.242,1.252,96.33,94.85,121,95,EXEMPLARY,1.5178,Streamlit Mission Control (Mode 0: SIH Grand Finale Guided Showcase)
run_20260907_151926_3acf0f3f,2026-09-07T15:19:26.933314+00:00,Scenario 5: Sun-Angle & Shadow Direction Inversion,Procedural Lunar Model (Scenario 5: Sun-Angle & Shadow Direction Inversion),Procedural Lunar Model (Scenario 5: Sun-Angle & Shadow Direction Inversion),gradient,hybrid,similarity,294,249,84.69,1.242,1.252,96.33,94.85,121,95,EXEMPLARY,1.4468,Streamlit Mission Control (Mode 0: SIH Grand Finale Guided Showcase)
run_20260907_153747_e78b4c16,2026-09-07T15:37:47.189643+00:00,sample_ohrc.tif -> sample_tmc2.tif,OHRC,TMC-2,clahe,sift,similarity,524,356,67.94,0.81,0.743,52.89,81.54,287,90,EXEMPLARY,1.6162,Executed via MoonFlower Headless CLI
run_20260907_153854_eda54a39,2026-09-07T15:38:54.666938+00:00,Scenario 1: Small Scale Variation (1.2x),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),clahe,sift,similarity,463,417,90.06,0.816,0.719,87.55,98.48,346,98,EXEMPLARY,1.6925,Executed via MoonFlower Headless CLI
run_20260907_153935_68f49e58,2026-09-07T15:39:35.057748+00:00,Scenario 1: Small Scale Variation (1.2x),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),clahe,sift,similarity,463,417,90.06,0.816,0.719,87.55,98.48,346,98,EXEMPLARY,1.1557,Executed via MoonFlower Headless CLI
run_20260907_154807_58b7c03f,2026-09-07T15:48:07.403070+00:00,Scenario 1: Small Scale Variation (1.2x),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),clahe,sift,similarity,463,417,90.06,0.816,0.719,87.55,98.48,346,98,EXEMPLARY,1.0943,Executed via MoonFlower Headless CLI
run_20260907_161204_9e3a1d09,2026-09-07T16:12:04.100040+00:00,Scenario 1: Small Scale Variation (1.2x),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),clahe,sift,similarity,463,417,90.06,0.816,0.719,87.55,98.48,346,98,EXEMPLARY,1.6044,Executed via MoonFlower Headless CLI
run_20260907_161518_fa5348aa,2026-09-07T16:15:18.508778+00:00,Scenario 1: Small Scale Variation (1.2x),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),clahe,sift,similarity,463,417,90.06,0.816,0.719,87.55,98.48,346,98,EXEMPLARY,1.3776,Executed via MoonFlower Headless CLI
run_20260907_161850_763d2018,2026-09-07T16:18:50.583522+00:00,Scenario 1: Small Scale Variation (1.2x),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),Procedural Lunar Model (Scenario 1: Small Scale Variation (1.2x)),clahe,sift,similarity,463,417,90.06,0.816,0.719,87.55,98.48,346,98,EXEMPLARY,0.8547,Executed via MoonFlower Headless CLI
